precision,recall,f1-score,support,Model
0.8982,0.8251,0.8601,1561.0,model1
0.9273,0.7284,0.8159,648.0,model1
0.7281,0.8161,0.7696,571.0,model1
0.993,0.9816,0.9873,434.0,model1
0.9475,0.9032,0.9249,620.0,model1
0.9765,0.954,0.9651,174.0,model1
0.9682,0.8793,0.9216,381.0,model1
0.748,0.9,0.817,1580.0,model1
0.8543,0.7954,0.8238,1334.0,model1
0.8409,0.8828,0.8613,401.0,model1
0.6648,0.7987,0.7256,149.0,model1
0.9325,0.8895,0.9105,932.0,model1
0.8304,0.8753,0.8523,2310.0,model1
0.96,0.96,0.96,175.0,model1
0.9589,0.9522,0.9555,1004.0,model1
0.901,0.8715,0.886,428.0,model1
0.9706,0.8871,0.927,372.0,model1
0.8702,0.8137,0.841,585.0,model1
0.8656,0.8656,0.8656,0.8656,model1
0.8872,0.873,0.878,13659.0,model1
0.8718,0.8656,0.8665,13659.0,model1
0.9034,0.8091,0.8537,1561.0,model2
0.8393,0.7654,0.8006,648.0,model2
0.8389,0.7478,0.7907,571.0,model2
0.9907,0.9839,0.9873,434.0,model2
0.8969,0.9403,0.9181,620.0,model2
0.9655,0.9655,0.9655,174.0,model2
0.8474,0.9475,0.8947,381.0,model2
0.8604,0.788,0.8226,1580.0,model2
0.7944,0.8486,0.8206,1334.0,model2
0.8808,0.8479,0.864,401.0,model2
0.7197,0.7584,0.7386,149.0,model2
0.8087,0.9571,0.8767,932.0,model2
0.8501,0.8567,0.8534,2310.0,model2
0.9247,0.9829,0.9529,175.0,model2
0.9549,0.9492,0.952,1004.0,model2
0.9622,0.8318,0.8922,428.0,model2
0.9067,0.914,0.9103,372.0,model2
0.7475,0.9009,0.8171,585.0,model2
0.862,0.862,0.862,0.862,model2
0.8718,0.8775,0.8728,13659.0,model2
0.8649,0.862,0.8617,13659.0,model2
0.8392,0.8527,0.8459,1561.0,model3
0.8344,0.8009,0.8173,648.0,model3
0.8947,0.6848,0.7758,571.0,model3
0.9953,0.9793,0.9872,434.0,model3
0.9192,0.9177,0.9185,620.0,model3
0.9709,0.9598,0.9653,174.0,model3
0.988,0.8635,0.9216,381.0,model3
0.7732,0.8715,0.8194,1580.0,model3
0.904,0.7339,0.8101,1334.0,model3
0.8174,0.8928,0.8534,401.0,model3
0.7062,0.7584,0.7314,149.0,model3
0.911,0.8895,0.9001,932.0,model3
0.8053,0.8879,0.8446,2310.0,model3
0.9653,0.9543,0.9598,175.0,model3
0.9477,0.9572,0.9524,1004.0,model3
0.8847,0.8785,0.8816,428.0,model3
0.9543,0.8978,0.9252,372.0,model3
0.8419,0.8376,0.8398,585.0,model3
0.8614,0.8614,0.8614,0.8614,model3
0.8863,0.8677,0.875,13659.0,model3
0.8657,0.8614,0.8612,13659.0,model3
0.7768,0.9097,0.838,1561.0,model4
0.8596,0.7654,0.8098,648.0,model4
0.8725,0.683,0.7662,571.0,model4
0.9773,0.9931,0.9851,434.0,model4
0.9089,0.9339,0.9212,620.0,model4
0.9765,0.954,0.9651,174.0,model4
0.9433,0.874,0.9074,381.0,model4
0.8611,0.8044,0.8318,1580.0,model4
0.8143,0.8283,0.8213,1334.0,model4
0.8425,0.8803,0.861,401.0,model4
0.8015,0.7047,0.75,149.0,model4
0.9217,0.897,0.9092,932.0,model4
0.8223,0.8736,0.8472,2310.0,model4
1.0,0.92,0.9583,175.0,model4
0.9413,0.9592,0.9502,1004.0,model4
0.9014,0.8762,0.8886,428.0,model4
0.9702,0.8763,0.9209,372.0,model4
0.8878,0.7983,0.8407,585.0,model4
0.8635,0.8635,0.8635,0.8635,model4
0.8933,0.8629,0.8762,13659.0,model4
0.8664,0.8635,0.8632,13659.0,model4
0.8324,0.8655,0.8486,1561.0,model5
0.8784,0.7577,0.8136,648.0,model5
0.8265,0.7426,0.7823,571.0,model5
1.0,0.9747,0.9872,434.0,model5
0.8852,0.9452,0.9142,620.0,model5
0.9821,0.9483,0.9649,174.0,model5
0.9178,0.9081,0.9129,381.0,model5
0.7906,0.8747,0.8305,1580.0,model5
0.8393,0.8066,0.8226,1334.0,model5
0.8672,0.8628,0.865,401.0,model5
0.9307,0.6309,0.752,149.0,model5
0.9178,0.8981,0.9078,932.0,model5
0.8272,0.8706,0.8483,2310.0,model5
0.9763,0.9429,0.9593,175.0,model5
0.9531,0.9512,0.9521,1004.0,model5
0.9885,0.8014,0.8852,428.0,model5
0.944,0.9059,0.9246,372.0,model5
0.8379,0.8393,0.8386,585.0,model5
0.8656,0.8656,0.8656,0.8656,model5
0.8997,0.8626,0.8783,13659.0,model5
0.8681,0.8656,0.8654,13659.0,model5
0.7796,0.9199,0.844,1561.0,model6
0.9304,0.7222,0.8132,648.0,model6
0.835,0.7356,0.7821,571.0,model6
0.9907,0.9839,0.9873,434.0,model6
0.9374,0.9177,0.9275,620.0,model6
0.9765,0.954,0.9651,174.0,model6
0.9939,0.8583,0.9211,381.0,model6
0.795,0.8614,0.8269,1580.0,model6
0.9048,0.7549,0.823,1334.0,model6
0.944,0.798,0.8649,401.0,model6
0.9065,0.651,0.7578,149.0,model6
0.8074,0.9582,0.8763,932.0,model6
0.8327,0.8749,0.8533,2310.0,model6
0.9879,0.9314,0.9588,175.0,model6
0.9478,0.9582,0.9529,1004.0,model6
0.9724,0.8224,0.8911,428.0,model6
0.8741,0.9516,0.9112,372.0,model6
0.8967,0.8017,0.8466,585.0,model6
0.8648,0.8648,0.8648,0.8648,model6
0.9063,0.8586,0.878,13659.0,model6
0.8712,0.8648,0.8643,13659.0,model6
0.8772,0.8463,0.8614,1561.0,model7
0.7707,0.8349,0.8015,648.0,model7
0.7961,0.7793,0.7876,571.0,model7
0.993,0.9816,0.9873,434.0,model7
0.9225,0.921,0.9217,620.0,model7
0.9939,0.9368,0.9645,174.0,model7
0.9243,0.8976,0.9108,381.0,model7
0.731,0.9203,0.8148,1580.0,model7
0.8901,0.7646,0.8226,1334.0,model7
0.9386,0.8005,0.8641,401.0,model7
0.8347,0.6779,0.7481,149.0,model7
0.935,0.8798,0.9066,932.0,model7
0.8356,0.8714,0.8531,2310.0,model7
0.9763,0.9429,0.9593,175.0,model7
0.9362,0.9651,0.9505,1004.0,model7
0.9318,0.8621,0.8956,428.0,model7
0.9516,0.8978,0.9239,372.0,model7
0.9453,0.7675,0.8472,585.0,model7
0.8657,0.8657,0.8657,0.8657,model7
0.8991,0.8637,0.8789,13659.0,model7
0.8721,0.8657,0.8662,13659.0,model7
