,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1288,14,50,0,5,0,5,60,34,12,8,13,51,0,0,0,2,19
True_1,23,472,13,0,5,0,1,33,20,9,7,1,44,0,0,1,1,18
True_2,17,5,466,0,0,0,0,35,10,3,3,1,24,0,0,2,0,5
True_3,0,0,1,426,0,0,0,1,1,0,0,2,3,0,0,0,0,0
True_4,3,0,5,1,560,0,0,9,7,0,1,0,18,1,13,1,1,0
True_5,0,0,0,0,0,166,0,0,1,0,0,0,3,0,0,4,0,0
True_6,4,2,2,0,2,0,335,7,4,10,2,3,6,0,0,0,1,3
True_7,15,1,20,0,2,0,0,1422,27,3,8,5,69,0,1,1,1,5
True_8,11,1,19,1,4,1,1,103,1061,3,9,6,102,0,4,4,0,4
True_9,14,1,3,0,0,1,0,11,2,354,1,2,10,0,0,0,0,2
True_10,2,1,3,0,0,0,0,10,5,1,119,3,5,0,0,0,0,0
True_11,12,5,6,0,2,0,2,30,6,3,0,829,26,0,0,3,2,6
True_12,15,3,34,1,2,2,1,133,50,7,15,10,2022,0,4,4,1,6
True_13,0,0,0,0,0,0,0,0,0,0,0,0,0,168,3,4,0,0
True_14,0,0,0,0,4,0,0,6,3,2,0,2,9,4,956,15,1,2
True_15,1,0,2,0,5,0,0,17,2,2,2,3,3,2,16,373,0,0
True_16,3,0,8,0,0,0,1,5,2,3,1,7,10,0,0,1,330,1
True_17,26,4,8,0,0,0,0,19,7,9,3,2,30,0,0,1,0,476
