,precision,recall,f1-score,support
0,0.9034,0.8091,0.8537,1561.0
1,0.8393,0.7654,0.8006,648.0
2,0.8389,0.7478,0.7907,571.0
3,0.9907,0.9839,0.9873,434.0
4,0.8969,0.9403,0.9181,620.0
5,0.9655,0.9655,0.9655,174.0
6,0.8474,0.9475,0.8947,381.0
7,0.8604,0.788,0.8226,1580.0
8,0.7944,0.8486,0.8206,1334.0
9,0.8808,0.8479,0.864,401.0
10,0.7197,0.7584,0.7386,149.0
11,0.8087,0.9571,0.8767,932.0
12,0.8501,0.8567,0.8534,2310.0
13,0.9247,0.9829,0.9529,175.0
14,0.9549,0.9492,0.952,1004.0
15,0.9622,0.8318,0.8922,428.0
16,0.9067,0.914,0.9103,372.0
17,0.7475,0.9009,0.8171,585.0
accuracy,0.862,0.862,0.862,0.862
macro avg,0.8718,0.8775,0.8728,13659.0
weighted avg,0.8649,0.862,0.8617,13659.0
