precision,recall,f1-score,support,Model
0.5847,0.7341,0.651,1561.0,model1
0.5551,0.4198,0.478,648.0,model1
0.4842,0.3485,0.4053,571.0,model1
0.974,0.8641,0.9158,434.0,model1
0.8682,0.7435,0.801,620.0,model1
0.9118,0.7126,0.8,174.0,model1
0.6667,0.7139,0.6895,381.0,model1
0.5043,0.5905,0.544,1580.0,model1
0.5759,0.5435,0.5592,1334.0,model1
0.7247,0.5711,0.6388,401.0,model1
0.7949,0.2081,0.3298,149.0,model1
0.6587,0.7103,0.6835,932.0,model1
0.5706,0.6645,0.614,2310.0,model1
0.931,0.7714,0.8438,175.0,model1
0.8885,0.8576,0.8728,1004.0,model1
0.7938,0.6565,0.7187,428.0,model1
0.75,0.621,0.6794,372.0,model1
0.6675,0.4598,0.5445,585.0,model1
0.6399,0.6399,0.6399,0.6399,model1
0.7169,0.6217,0.6538,13659.0,model1
0.6511,0.6399,0.6386,13659.0,model1
0.767,0.8648,0.813,1561.0,model2
0.8274,0.6806,0.7468,648.0,model2
0.6731,0.6743,0.6737,571.0,model2
0.9928,0.9562,0.9742,434.0,model2
0.9364,0.879,0.9068,620.0,model2
0.9699,0.9253,0.9471,174.0,model2
0.875,0.8451,0.8598,381.0,model2
0.7609,0.6867,0.7219,1580.0,model2
0.6107,0.8268,0.7025,1334.0,model2
0.9175,0.6933,0.7898,401.0,model2
0.7677,0.5101,0.6129,149.0,model2
0.8411,0.8519,0.8465,932.0,model2
0.7882,0.7944,0.7913,2310.0,model2
0.9688,0.8857,0.9254,175.0,model2
0.9282,0.9402,0.9342,1004.0,model2
0.9126,0.7804,0.8413,428.0,model2
0.8391,0.8414,0.8403,372.0,model2
0.8904,0.6667,0.7625,585.0,model2
0.7999,0.7999,0.7999,0.7999,model2
0.8482,0.7946,0.8161,13659.0,model2
0.8098,0.7999,0.8007,13659.0,model2
0.7955,0.8821,0.8366,1561.0,model3
0.8029,0.7731,0.7877,648.0,model3
0.854,0.6865,0.7612,571.0,model3
0.9727,0.9839,0.9782,434.0,model3
0.9361,0.8984,0.9169,620.0,model3
0.9593,0.9483,0.9538,174.0,model3
0.9307,0.8819,0.9057,381.0,model3
0.8573,0.7532,0.8019,1580.0,model3
0.7976,0.7976,0.7976,1334.0,model3
0.8696,0.798,0.8322,401.0,model3
0.7535,0.7181,0.7354,149.0,model3
0.809,0.927,0.864,932.0,model3
0.7831,0.8771,0.8274,2310.0,model3
0.9647,0.9371,0.9507,175.0,model3
0.9691,0.9074,0.9372,1004.0,model3
0.8578,0.8879,0.8726,428.0,model3
0.9359,0.8629,0.8979,372.0,model3
0.9071,0.7675,0.8315,585.0,model3
0.8457,0.8457,0.8457,0.8457,model3
0.8753,0.8493,0.8605,13659.0,model3
0.8496,0.8457,0.8454,13659.0,model3
0.8302,0.8552,0.8425,1561.0,model4
0.8589,0.7515,0.8016,648.0,model4
0.8602,0.7005,0.7722,571.0,model4
0.9816,0.9839,0.9827,434.0,model4
0.9306,0.9081,0.9192,620.0,model4
0.9708,0.954,0.9623,174.0,model4
0.9086,0.8871,0.8977,381.0,model4
0.8094,0.8089,0.8091,1580.0,model4
0.691,0.9003,0.7819,1334.0,model4
0.8723,0.818,0.8443,401.0,model4
0.8584,0.651,0.7405,149.0,model4
0.9573,0.8412,0.8955,932.0,model4
0.8285,0.845,0.8367,2310.0,model4
0.9877,0.9143,0.9496,175.0,model4
0.9514,0.9363,0.9438,1004.0,model4
0.9177,0.8598,0.8878,428.0,model4
0.9583,0.8656,0.9096,372.0,model4
0.8327,0.8085,0.8205,585.0,model4
0.8506,0.8506,0.8506,0.8506,model4
0.8892,0.8494,0.8665,13659.0,model4
0.8574,0.8506,0.8515,13659.0,model4
0.7939,0.8885,0.8386,1561.0,model5
0.9654,0.6883,0.8036,648.0,model5
0.7551,0.7828,0.7687,571.0,model5
0.9976,0.9677,0.9825,434.0,model5
0.9154,0.9081,0.9117,620.0,model5
0.9763,0.9483,0.9621,174.0,model5
0.8954,0.9213,0.9082,381.0,model5
0.7978,0.8266,0.8119,1580.0,model5
0.8569,0.7676,0.8098,1334.0,model5
0.9101,0.783,0.8418,401.0,model5
0.6316,0.8054,0.708,149.0,model5
0.9282,0.8734,0.8999,932.0,model5
0.8025,0.8797,0.8393,2310.0,model5
0.9235,0.9657,0.9441,175.0,model5
0.9498,0.9243,0.9369,1004.0,model5
0.8902,0.8715,0.8808,428.0,model5
0.9227,0.8978,0.9101,372.0,model5
0.8713,0.8103,0.8397,585.0,model5
0.8542,0.8542,0.8542,0.8542,model5
0.8769,0.8617,0.8665,13659.0,model5
