,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1265,38,38,0,6,0,6,49,38,16,0,12,50,0,0,1,16,26
True_1,11,516,13,0,8,0,2,22,16,4,1,1,39,0,0,0,3,12
True_2,23,11,447,0,2,1,1,24,16,1,1,1,30,0,0,1,5,7
True_3,0,0,0,424,1,0,0,2,0,0,0,2,4,0,0,0,1,0
True_4,1,3,3,1,585,0,2,8,2,0,0,1,9,0,2,2,1,0
True_5,0,0,0,0,1,165,0,0,2,0,0,0,4,0,0,2,0,0
True_6,2,3,2,0,3,0,339,2,3,5,2,6,8,0,0,0,4,2
True_7,18,15,30,1,15,1,2,1285,56,2,1,16,124,0,1,4,3,6
True_8,19,14,16,2,14,1,1,70,1052,3,2,8,117,0,1,4,4,6
True_9,9,8,3,0,2,1,8,8,6,326,0,4,12,1,0,1,3,9
True_10,3,6,4,0,0,0,0,12,9,1,94,4,11,0,0,0,3,2
True_11,16,11,4,2,2,0,0,24,12,1,0,829,17,0,0,1,10,3
True_12,22,26,33,1,25,2,1,85,66,14,0,26,1989,0,3,4,4,9
True_13,0,0,0,0,1,0,0,0,0,0,0,0,0,168,3,3,0,0
True_14,1,1,1,0,24,0,0,6,9,3,0,0,16,6,904,28,3,2
True_15,2,4,2,0,4,0,1,9,6,1,1,5,7,5,7,371,1,2
True_16,2,0,3,0,1,0,0,5,3,1,0,6,6,0,0,1,344,0
True_17,24,23,9,0,3,0,0,16,8,5,0,3,23,0,0,0,7,464
