,precision,recall,f1-score,support
0,0.7025,0.8366,0.7637,1561.0
1,0.7092,0.6512,0.679,648.0
2,0.8063,0.4448,0.5734,571.0
3,0.9857,0.9562,0.9708,434.0
4,0.9694,0.8177,0.8871,620.0
5,0.9936,0.8966,0.9426,174.0
6,0.8963,0.8163,0.8544,381.0
7,0.6783,0.6753,0.6768,1580.0
8,0.6996,0.6267,0.6611,1334.0
9,0.74,0.7805,0.7597,401.0
10,0.6842,0.5235,0.5932,149.0
11,0.8858,0.7822,0.8308,932.0
12,0.6509,0.8385,0.7329,2310.0
13,0.9808,0.8743,0.9245,175.0
14,0.9023,0.9472,0.9242,1004.0
15,0.9237,0.764,0.8363,428.0
16,0.911,0.7984,0.851,372.0
17,0.8125,0.6222,0.7047,585.0
accuracy,0.7631,0.7631,0.7631,0.7631
macro avg,0.8296,0.7585,0.787,13659.0
weighted avg,0.7746,0.7631,0.762,13659.0
