ResNet50_top1,ResNet50_top1_prob,ResNet50_top2,ResNet50_top2_prob,ResNet50_top3,ResNet50_top3_prob,VGGNet16_top1,VGGNet16_top1_prob,VGGNet16_top2,VGGNet16_top2_prob,VGGNet16_top3,VGGNet16_top3_prob,InceptionV3_top1,InceptionV3_top1_prob,InceptionV3_top2,InceptionV3_top2_prob,InceptionV3_top3,InceptionV3_top3_prob,ConvNeXt_top1,ConvNeXt_top1_prob,ConvNeXt_top2,ConvNeXt_top2_prob,ConvNeXt_top3,ConvNeXt_top3_prob,EfficientNet_top1,EfficientNet_top1_prob,EfficientNet_top2,EfficientNet_top2_prob,EfficientNet_top3,EfficientNet_top3_prob,ResNet50_time,VGGNet16_time,InceptionV3_time,ConvNeXt_time,EfficientNet_time,total_time,label
bloodhound,0.25256285,Rottweiler,0.15559411,Doberman,0.14745215,siamang,0.12712972,chimpanzee,0.1098966,chainlink_fence,0.09205514,chainlink_fence,0.7965536,schipperke,0.040776055,worm_fence,0.035085227,Newfoundland,0.10440854,Labrador_retriever,0.06387411,flat-coated_retriever,0.06062848,schipperke,0.26885954,Newfoundland,0.1036661,Labrador_retriever,0.08765224,0.5644278526306152,0.22026324272155762,0.41374993324279785,0.9763431549072266,1.6000890731811523,3.7748780250549316,dog
borzoi,0.4548051,Saluki,0.27473506,whippet,0.09930404,Saluki,0.45637926,borzoi,0.3360066,whippet,0.05489506,sorrel,0.75924003,Saluki,0.023015961,borzoi,0.020366078,Saluki,0.4478275,sorrel,0.1775166,borzoi,0.07175356,sorrel,0.713875,Saluki,0.02633171,borzoi,0.0067453547,0.04773592948913574,0.07340788841247559,0.04368019104003906,0.26388001441955566,0.35465502738952637,0.7833647727966309,horse
ox,0.63604265,bison,0.28491852,water_buffalo,0.07329632,bison,0.9423399,ox,0.055581752,water_buffalo,0.001989326,bison,0.45309833,ox,0.33719996,water_buffalo,0.0980746,bison,0.531881,ox,0.37698063,water_buffalo,0.003972265,ox,0.6436994,bison,0.16827002,water_buffalo,0.011518354,0.04678225517272949,0.07363295555114746,0.05248880386352539,0.2671349048614502,0.3106412887573242,0.7506861686706543,yak
triceratops,0.5412557,hippopotamus,0.20431949,Indian_elephant,0.045569587,triceratops,0.58434623,ox,0.18880484,Arabian_camel,0.04934281,triceratops,0.43432057,hippopotamus,0.14455974,Indian_elephant,0.067068,Indian_elephant,0.4215375,triceratops,0.17928888,African_elephant,0.026730094,Indian_elephant,0.5726453,triceratops,0.05663558,tusker,0.053704854,0.044220924377441406,0.07139325141906738,0.041008949279785156,0.26364898681640625,0.3029329776763916,0.7232110500335693,rhinoceros
lesser_panda,0.9806121,polecat,0.0046645147,red_fox,0.002899881,lesser_panda,0.99999094,polecat,8.557793e-06,weasel,1.7781251e-07,lesser_panda,0.9315648,polecat,0.004561584,brown_bear,0.0007930422,lesser_panda,0.9052394,polecat,0.0012518105,patas,0.0003846467,lesser_panda,0.8256864,polecat,0.0040476443,brown_bear,0.00084903574,0.04438304901123047,0.0720822811126709,0.04134774208068848,0.2616889476776123,0.3172457218170166,0.7367522716522217,red_panda
ox,0.9736761,oxcart,0.013768076,water_buffalo,0.008811526,ox,0.81188434,bison,0.048025936,water_buffalo,0.046036184,ox,0.87258244,water_buffalo,0.049845148,bison,0.011957064,ox,0.88805926,water_buffalo,0.015390562,oxcart,0.0061740954,ox,0.9265447,bison,0.0071229506,oxcart,0.0027967847,0.046768903732299805,0.07366728782653809,0.04404783248901367,0.26741719245910645,0.31995081901550293,0.7518570423126221,highland_cattle
ice_bear,0.9985025,brown_bear,0.00073445245,Samoyed,0.00031176952,ice_bear,0.99879694,Samoyed,0.0008999096,Arctic_fox,0.00014724451,ice_bear,0.80689657,Arctic_fox,0.012835378,Samoyed,0.007041129,ice_bear,0.94185394,Arctic_fox,0.0007054382,brown_bear,0.00058204285,ice_bear,0.8079192,brown_bear,0.004182234,Arctic_fox,0.0011909594,0.04667782783508301,0.07296991348266602,0.043640851974487305,0.2665410041809082,0.3252229690551758,0.7550578117370605,polar_bear
brown_bear,0.98863107,hyena,0.0017722067,red_wolf,0.001564571,brown_bear,0.9972849,American_black_bear,0.0023391244,sloth_bear,0.00017624683,brown_bear,0.8040138,wild_boar,0.010683976,red_wolf,0.0072520897,brown_bear,0.8754854,sloth_bear,0.0022722345,hog,0.0016384572,brown_bear,0.81909716,American_black_bear,0.004692536,sloth_bear,0.0036910411,0.04549884796142578,0.0718379020690918,0.04178285598754883,0.2623279094696045,0.3080320358276367,0.7294838428497314,brown_bear
mongoose,0.9899137,meerkat,0.0066325995,polecat,0.0009302709,mongoose,0.9999783,meerkat,9.4735415e-06,marmoset,3.817144e-06,mongoose,0.8905858,planetarium,0.0059902105,polecat,0.0011406549,mongoose,0.8941543,meerkat,0.0010876876,weasel,0.0010476102,mongoose,0.7526943,weasel,0.0055309027,black-footed_ferret,0.004524535,0.04595613479614258,0.07137107849121094,0.04154014587402344,0.26236486434936523,0.3027970790863037,0.7240352630615234,mongoose
dhole,0.549607,coyote,0.2224023,red_wolf,0.08141521,coyote,0.70868456,grey_fox,0.083602056,red_wolf,0.06036159,dhole,0.2780807,coyote,0.10434841,kit_fox,0.0958017,coyote,0.37501156,dhole,0.32334277,red_wolf,0.0889012,coyote,0.2614338,red_wolf,0.18336596,dhole,0.17332922,0.04355978965759277,0.07065176963806152,0.04291701316833496,0.26412200927734375,0.3236222267150879,0.7448787689208984,jackal
