ResNet50,VGGNet16,InceptionV3,ConvNeXt,EfficientNet,ResNet50_prob,VGGNet16_prob,InceptionV3_prob,ConvNeXt_prob,EfficientNet_prob,label
obelisk,lemon,punching_bag,plastic_bag,stupa,0.2527384,0.52354604,0.17747743,7.3157206,0.76084214,pagoda_kyitehteeyoe
stupa,stupa,palace,stupa,stupa,0.72353095,0.74461603,0.3942381,8.08154,0.69980025,pagoda_myatheintan
saltshaker,thimble,mask,mask,saltshaker,0.43445495,0.21767503,0.30064642,7.8442445,0.4242744,mmtoy_pyittainghtaung
packet,packet,packet,wallet,handkerchief,0.4229612,0.2314038,0.54408574,8.025471,0.2239239,200_banknote
wallet,tray,wallet,cassette,handkerchief,0.32596946,0.16953443,0.38701752,7.7831316,0.32299674,50_banknote
mask,vase,saltshaker,saltshaker,mask,0.23445973,0.29823402,0.15414128,9.741221,0.36497626,mmtoy_various
stupa,stupa,stupa,palace,stupa,0.9789059,0.89132965,0.9849557,8.450608,0.80915445,pagoda_suelay
packet,mousetrap,packet,rule,packet,0.6070009,0.4016147,0.11198668,8.430675,0.22672625,500_banknote
parachute,pinwheel,mask,parachute,swing,0.5351738,0.26233175,0.64620143,6.6513524,0.5648944,puppet_phoewa
swing,swing,bow,swing,swing,0.59009594,0.26422325,0.6037879,9.053954,0.6207111,puppet_zawgyi
mask,toyshop,toyshop,toyshop,bow,0.50715667,0.51975834,0.2812547,7.2925076,0.27050367,puppet_various
piggy_bank,pinwheel,piggy_bank,triceratops,piggy_bank,0.9778886,0.44475657,0.8891591,8.20294,0.92375785,mmtoy_cow
packet,pencil_box,packet,packet,packet,0.3027798,0.13743246,0.72590095,8.981755,0.6543885,1000_banknote
umbrella,umbrella,umbrella,umbrella,umbrella,0.4669811,0.16107467,0.6363321,9.281565,0.44496915,monk
stupa,stupa,stupa,stupa,stupa,0.993836,0.9950435,0.9988023,9.677703,0.855088,pagoda_shwedagon
wallet,packet,packet,cassette,packet,0.5011335,0.43013066,0.17880309,7.0828586,0.5834906,5000_banknote
comic_book,comic_book,comic_book,comic_book,comic_book,0.28926152,0.12730984,0.13948865,7.6876388,0.7248525,phoewayote_visit_1996
mask,carousel,mask,mask,mask,0.9872449,0.5668107,0.9516309,9.053016,0.6320836,puppet_nat
chime,balloon,parachute,parachute,bow,0.58642405,0.16390367,0.4319504,6.6047425,0.36062083,mmtoy_elephant
pencil_box,pencil_box,wallet,rule,pencil_box,0.36021158,0.22018482,0.4606154,8.0385685,0.3428761,100_banknote
wallet,wallet,packet,book_jacket,packet,0.47456852,0.29727468,0.6433803,8.531523,0.51719666,10000_banknote
