ResNet50,VGGNet16,InceptionV3,ConvNeXt,EfficientNet,ResNet50_prob,VGGNet16_prob,InceptionV3_prob,ConvNeXt_prob,EfficientNet_prob,label
wire-haired_fox_terrier,German_shepherd,toy_terrier,dingo,wire-haired_fox_terrier,0.17033914,0.14455764,0.18127559,1.6258545,0.5941508,dog
hartebeest,hartebeest,sorrel,jack-o'-lantern,hartebeest,0.49923787,0.8726126,0.53400093,0.6071853,0.65229166,horse
moped,moped,moped,unicycle,moped,0.7848069,0.42063382,0.8255052,2.7122898,0.7081911,bike
hen,hen,hen,jack-o'-lantern,hen,0.9896248,0.9635585,0.86072934,0.50118417,0.7175321,chicken
ram,ram,ram,matchstick,ram,0.83708245,0.7099335,0.418202,0.53913176,0.7279009,sheep
bee_eater,house_finch,bulbul,horizontal_bar,bee_eater,0.5260932,0.96219283,0.49913022,1.3245672,0.24811746,bird
cabbage_butterfly,cabbage_butterfly,lycaenid,matchstick,cabbage_butterfly,0.651393,0.74729896,0.34834236,0.604203,0.4696175,butterfly
tabby,tabby,Egyptian_cat,jack-o'-lantern,Egyptian_cat,0.6580173,0.48198447,0.38620996,0.5655522,0.42522228,cat
tray,pitcher,tray,matchstick,lampshade,0.41792354,0.14058603,0.43152115,0.81949717,0.5140129,flower
sombrero,ice_lolly,maraca,jack-o'-lantern,sombrero,0.6345044,0.07210241,0.23562995,0.7015426,0.15050304,woman
