ResNet50,VGGNet16,InceptionV3,ConvNeXt,EfficientNet,ResNet50_prob,VGGNet16_prob,InceptionV3_prob,ConvNeXt_prob,EfficientNet_prob,label
wire-haired_fox_terrier,German_shepherd,toy_terrier,toy_terrier,wire-haired_fox_terrier,0.17033914,0.14455764,0.18127559,9.225468,0.5941508,dog
hartebeest,hartebeest,sorrel,hartebeest,hartebeest,0.49923787,0.8726126,0.53400093,9.119721,0.65229166,horse
moped,moped,moped,moped,moped,0.7848069,0.42063382,0.8255052,8.537584,0.7081911,bike
hen,hen,hen,hen,hen,0.9896248,0.9635585,0.86072934,8.612035,0.7175321,chicken
ram,ram,ram,ram,ram,0.83708245,0.7099335,0.418202,8.262058,0.7279009,sheep
bee_eater,house_finch,bulbul,bee_eater,bee_eater,0.5260932,0.96219283,0.49913022,7.4917073,0.24811746,bird
cabbage_butterfly,cabbage_butterfly,lycaenid,cabbage_butterfly,cabbage_butterfly,0.651393,0.74729896,0.34834236,8.048127,0.4696175,butterfly
tabby,tabby,Egyptian_cat,Egyptian_cat,Egyptian_cat,0.6580173,0.48198447,0.38620996,8.747259,0.42522228,cat
tray,pitcher,tray,birdhouse,lampshade,0.41792354,0.14058603,0.43152115,6.9957385,0.5140129,flower
sombrero,ice_lolly,maraca,sombrero,sombrero,0.6345044,0.07210241,0.23562995,7.313422,0.15050304,woman
